"customerkey","geographykey","customeralternatekey","firstname","middlename","lastname","birthdate","gender","emailaddress","addressline1","datefirstpurchase","commutedistance","stateprovincecode","stateprovincename","countryregioncode","englishcountryregionname","postalcode","salesterritorykey","ipaddresslocator"
11023,298,"AW00011023","Seth","M","Edwards","1984-04-09","M","seth46@adventure-works.com","4499 Valley Crest","2022-02-17","1-2 Miles","CA","California","US","United States","90706",4,"192.0.2.45"
11024,311,"AW00011024","Russell",NULL,"Xie","1984-03-16","M","russell7@adventure-works.com","8734 Oxford Place","2022-06-27","5-10 Miles","CA","California","US","United States","94519",4,"192.0.2.58"
11025,24,"AW00011025","Alejandro",NULL,"Beck","1951-06-22","M","alejandro45@adventure-works.com","2596 Franklin Canyon Road","2020-01-06","1-2 Miles","QLD","Queensland","AU","Australia","4171",9,"198.51.100.25"
11026,4,"AW00011026","Harold",NULL,"Sai","1951-10-01","M","harold3@adventure-works.com","8211 Leeds Ct.","2020-01-23","1-2 Miles","NSW","New South Wales","AU","Australia","2580",9,"198.51.100.5"
11027,40,"AW00011027","Jessie","R","Zhao","1952-06-05","M","jessie16@adventure-works.com","213 Valencia Place","2020-01-16","5-10 Miles","VIC","Victoria","AU","Australia","3280",9,"198.51.100.41"
11028,17,"AW00011028","Jill",NULL,"Jimenez","1951-10-09","F","jill13@adventure-works.com","9111 Rose Ann Ave","2020-01-26","1-2 Miles","NSW","New South Wales","AU","Australia","2065",9,"198.51.100.18"
11029,32,"AW00011029","Jimmy","L","Moreno","1952-06-19","M","jimmy9@adventure-works.com","6385 Mark Twain","2020-01-19","1-2 Miles","VIC","Victoria","AU","Australia","3550",9,"198.51.100.33"
11030,28,"AW00011030","Bethany","G","Yuan","1958-02-18","F","bethany10@adventure-works.com","636 Vine Hill Way","2020-02-05","1-2 Miles","SA","South Australia","AU","Australia","6105",9,"198.51.100.29"
11031,8,"AW00011031","Theresa","G","Ramos","1953-02-18","F","theresa13@adventure-works.com","6465 Detroit Ave.","2020-02-01","1-2 Miles","NSW","New South Wales","AU","Australia","2036",9,"198.51.100.9"
11032,35,"AW00011032","Denise",NULL,"Stone","1952-12-08","F","denise10@adventure-works.com","626 Bentley Street","2020-02-18","1-2 Miles","VIC","Victoria","AU","Australia","3000",9,"198.51.100.36"
11033,9,"AW00011033","Jaime",NULL,"Nath","1958-09-19","M","jaime41@adventure-works.com","5927 Rainbow Dr","2020-02-15","5-10 Miles","NSW","New South Wales","AU","Australia","2061",9,"198.51.100.10"
11034,12,"AW00011034","Ebony",NULL,"Gonzalez","1952-12-16","F","ebony19@adventure-works.com","5167 Condor Place","2020-02-01","5-10 Miles","NSW","New South Wales","AU","Australia","2055",9,"198.51.100.13"
11035,33,"AW00011035","Wendy",NULL,"Dominguez","1953-08-23","F","wendy12@adventure-works.com","1873 Mt. Whitney Dr","2020-02-06","1-2 Miles","VIC","Victoria","AU","Australia","3977",9,"198.51.100.34"
11036,343,"AW00011036","Jennifer","C","Russell","1984-06-16","F","jennifer93@adventure-works.com","3981 Augustine Drive","2022-01-22","1-2 Miles","CA","California","US","United States","91950",4,"192.0.2.90"
11037,49,"AW00011037","Chloe","M","Garcia","1983-05-27","F","chloe27@adventure-works.com","8915 Woodside Way","2022-01-20","5-10 Miles","BC","British Columbia","CA","Canada","V8Y 1L1",6,"198.51.100.50"
11038,6,"AW00011038","Diana","F","Hernandez","1953-09-20","F","diana2@adventure-works.com","8357 Sandy Cove Lane","2020-02-07","5-10 Miles","NSW","New South Wales","AU","Australia","2060",9,"198.51.100.7"
11039,19,"AW00011039","Marc","J","Martin","1954-06-16","M","marc3@adventure-works.com","9353 Creekside Dr.","2020-02-07","5-10 Miles","NSW","New South Wales","AU","Australia","2500",9,"198.51.100.20"
11040,642,"AW00011040","Jesse",NULL,"Murphy","1983-01-29","M","jesse15@adventure-works.com","3350 Kingswood Circle","2022-04-03","1-2 Miles","WA","Washington","US","United States","98403",1,"203.0.113.135"
11041,325,"AW00011041","Amanda","M","Carter","1983-04-15","F","amanda53@adventure-works.com","5826 Escobar","2022-01-14","1-2 Miles","CA","California","US","United States","91203",4,"192.0.2.72"
11042,338,"AW00011042","Megan","J","Sanchez","1982-12-11","F","megan28@adventure-works.com","1397 Paraiso Ct.","2022-01-21","0-1 Miles","CA","California","US","United States","90012",4,"192.0.2.85"
11043,325,"AW00011043","Nathan","M","Simmons","1981-08-23","M","nathan11@adventure-works.com","1170 Shaw Rd","2022-05-08","5-10 Miles","CA","California","US","United States","91203",4,"192.0.2.72"
11044,25,"AW00011044","Adam","L","Flores","1954-11-21","M","adam10@adventure-works.com","6935 Candle Dr","2020-02-28","1-2 Miles","QLD","Queensland","AU","Australia","4655",9,"198.51.100.26"
11045,8,"AW00011045","Leonard","G","Nara","1955-11-16","M","leonard18@adventure-works.com","7466 La Vista Ave.","2022-04-10","1-2 Miles","NSW","New South Wales","AU","Australia","2036",9,"198.51.100.9"
11046,6,"AW00011046","Christine",NULL,"Yuan","1955-09-19","F","christine4@adventure-works.com","2356 Orange St","2020-02-06","5-10 Miles","NSW","New South Wales","AU","Australia","2060",9,"198.51.100.7"
11047,34,"AW00011047","Jaclyn","D","Lu","1955-08-27","F","jaclyn12@adventure-works.com","2812 Mazatlan","2020-02-03","1-2 Miles","VIC","Victoria","AU","Australia","3220",9,"198.51.100.35"
11048,39,"AW00011048","Jeremy",NULL,"Powell","1956-05-21","M","jeremy26@adventure-works.com","1803 Potomac Dr.","2020-02-10","5-10 Miles","VIC","Victoria","AU","Australia","3429",9,"198.51.100.40"
11049,307,"AW00011049","Carol","C","Rai","1986-01-15","F","carol8@adventure-works.com","6064 Madrid","2022-03-09","5-10 Miles","CA","California","US","United States","91910",4,"192.0.2.54"
11050,31,"AW00011050","Alan",NULL,"Zheng","1957-03-06","M","alan23@adventure-works.com","2741 Gainborough Dr.","2020-02-20","5-10 Miles","TAS","Tasmania","AU","Australia","7001",9,"198.51.100.32"
11051,21,"AW00011051","Daniel",NULL,"Johnson","1957-01-31","M","daniel18@adventure-works.com","8085 Sunnyvale Avenue","2022-12-29","1-2 Miles","QLD","Queensland","AU","Australia","4551",9,"198.51.100.22"
11052,8,"AW00011052","Heidi",NULL,"Lopez","1957-02-03","F","heidi19@adventure-works.com","2514 Via Cordona","2020-02-17","5-10 Miles","NSW","New South Wales","AU","Australia","2036",9,"198.51.100.9"
11053,359,"AW00011053","Ana","E","Price","1986-02-17","F","ana0@adventure-works.com","1660 Stonyhill Circle","2022-01-17","1-2 Miles","CA","California","US","United States","92102",4,"192.0.2.106"
11054,34,"AW00011054","Deanna",NULL,"Munoz","1957-09-07","F","deanna33@adventure-works.com","5825 B Way","2020-02-03","5-10 Miles","VIC","Victoria","AU","Australia","3220",9,"198.51.100.35"
11055,22,"AW00011055","Gilbert",NULL,"Raje","1957-09-02","M","gilbert35@adventure-works.com","8811 The Trees Dr.","2020-01-31","5-10 Miles","QLD","Queensland","AU","Australia","4169",9,"198.51.100.23"
11056,10,"AW00011056","Michele","L","Nath","1958-10-01","F","michele19@adventure-works.com","5464 Janin Pl.","2020-02-26","5-10 Miles","NSW","New South Wales","AU","Australia","2300",9,"198.51.100.11"
11057,5,"AW00011057","Carl","J","Andersen","1970-04-07","M","carl12@adventure-works.com","6930 Lake Nadine Place","2020-02-22","1-2 Miles","NSW","New South Wales","AU","Australia","1597",9,"198.51.100.6"
11058,29,"AW00011058","Marc",NULL,"Diaz","1965-04-23","M","marc6@adventure-works.com","6645 Sinaloa","2020-03-09","1-2 Miles","SA","South Australia","AU","Australia","5023",9,"198.51.100.30"
11059,27,"AW00011059","Ashlee","J","Andersen","1959-09-29","F","ashlee19@adventure-works.com","8255 Highland Road","2022-02-18","5-10 Miles","QLD","Queensland","AU","Australia","4810",9,"198.51.100.28"
11060,40,"AW00011060","Jon","L","Zhou","1959-09-14","M","jon28@adventure-works.com","6574 Hemlock Ave.","2020-03-19","5-10 Miles","VIC","Victoria","AU","Australia","3280",9,"198.51.100.41"
11061,23,"AW00011061","Todd","M","Gao","1976-02-20","M","todd14@adventure-works.com","8808 Geneva Ave","2020-03-13","5-10 Miles","QLD","Queensland","AU","Australia","4217",9,"198.51.100.24"
11062,547,"AW00011062","Noah","D","Powell","1981-03-01","M","noah5@adventure-works.com","9794 Marion Ct","2022-01-07","5-10 Miles","OR","Oregon","US","United States","97205",1,"203.0.113.40"
11063,634,"AW00011063","Angela",NULL,"Murphy","1980-10-04","F","angela41@adventure-works.com","4927 Virgil Street","2022-01-12","5-10 Miles","WA","Washington","US","United States","98052",1,"203.0.113.127"
11064,315,"AW00011064","Chase",NULL,"Reed","1981-06-05","M","chase21@adventure-works.com","2721 Alexander Pl.","2022-01-25","5-10 Miles","CA","California","US","United States","90241",4,"192.0.2.62"
11065,331,"AW00011065","Jessica",NULL,"Henderson","1979-04-08","F","jessica29@adventure-works.com","9343 Ironwood Way","2022-02-10","1-2 Miles","CA","California","US","United States","92806",4,"192.0.2.78"
11066,543,"AW00011066","Grace","T","Butler","1979-05-27","F","grace62@adventure-works.com","4739 Garden Ave.","2022-05-31","5-10 Miles","OR","Oregon","US","United States","97355",1,"203.0.113.36"
11067,632,"AW00011067","Caleb","F","Carter","1982-03-25","M","caleb40@adventure-works.com","9563 Pennsylvania Blvd.","2022-08-18","5-10 Miles","WA","Washington","US","United States","98366",1,"203.0.113.125"
11068,40,"AW00011068","Tiffany",NULL,"Liang","1966-09-19","F","tiffany17@adventure-works.com","3608 Sinclair Avenue","2022-04-30","5-10 Miles","VIC","Victoria","AU","Australia","3280",9,"198.51.100.41"
11069,23,"AW00011069","Carolyn",NULL,"Navarro","1966-09-17","F","carolyn30@adventure-works.com","4606 Springwood Court","2020-04-17","1-2 Miles","QLD","Queensland","AU","Australia","4217",9,"198.51.100.24"
11070,39,"AW00011070","Willie","T","Raji","1960-10-02","M","willie40@adventure-works.com","6260 Vernal Drive","2020-04-28","5-10 Miles","VIC","Victoria","AU","Australia","3429",9,"198.51.100.40"
11071,24,"AW00011071","Linda",NULL,"Serrano","1960-12-23","F","linda31@adventure-works.com","9808 Shaw Rd.","2022-03-01","5-10 Miles","QLD","Queensland","AU","Australia","4171",9,"198.51.100.25"
11072,17,"AW00011072","Casey",NULL,"Luo","1960-08-05","F","casey6@adventure-works.com","9513 Roslyn Drive","2020-03-31","1-2 Miles","NSW","New South Wales","AU","Australia","2065",9,"198.51.100.18"
11073,16,"AW00011073","Amy",NULL,"Ye","1962-02-11","F","amy16@adventure-works.com","2262 Kirkwood Ct.","2022-03-23","5-10 Miles","NSW","New South Wales","AU","Australia","2777",9,"198.51.100.17"
11074,28,"AW00011074","Levi","A","Arun","1962-02-25","M","levi6@adventure-works.com","4661 Bluetail","2022-03-23","5-10 Miles","SA","South Australia","AU","Australia","6105",9,"198.51.100.29"
11075,32,"AW00011075","Felicia","L","Jimenez","1963-05-16","F","felicia4@adventure-works.com","786 Eastgate Ave","2020-04-28","5-10 Miles","VIC","Victoria","AU","Australia","3550",9,"198.51.100.33"
11076,19,"AW00011076","Blake",NULL,"Anderson","1963-01-10","M","blake9@adventure-works.com","5436 Clear","2020-04-21","5-10 Miles","NSW","New South Wales","AU","Australia","2500",9,"198.51.100.20"
11077,36,"AW00011077","Leah",NULL,"Ye","1963-03-19","F","leah7@adventure-works.com","1291 Arguello Blvd.","2020-04-15","1-2 Miles","VIC","Victoria","AU","Australia","3337",9,"198.51.100.37"
11078,49,"AW00011078","Gina","E","Martin","1985-01-06","F","gina1@adventure-works.com","1349 Sol St.","2022-02-15","1-2 Miles","BC","British Columbia","CA","Canada","V8Y 1L1",6,"198.51.100.50"
11079,34,"AW00011079","Donald",NULL,"Gonzalez","1970-03-07","M","donald20@adventure-works.com","4236 Malibu Place","2022-03-15","0-1 Miles","VIC","Victoria","AU","Australia","3220",9,"198.51.100.35"
11080,30,"AW00011080","Damien",NULL,"Chander","1965-01-13","M","damien32@adventure-works.com","9941 Stonehedge Dr.","2020-04-10","0-1 Miles","SA","South Australia","AU","Australia","6006",9,"198.51.100.31"
11081,311,"AW00011081","Savannah","C","Baker","1972-01-21","F","savannah39@adventure-works.com","1210 Trafalgar Circle","2022-02-12","2-5 Miles","CA","California","US","United States","94519",4,"192.0.2.58"
11082,322,"AW00011082","Angela","L","Butler","1972-02-01","F","angela17@adventure-works.com","6040 Listing Ct","2022-01-22","1-2 Miles","CA","California","US","United States","94536",4,"192.0.2.69"
11083,336,"AW00011083","Alyssa","F","Cox","1977-03-11","F","alyssa37@adventure-works.com","867 La Orinda Place","2022-01-06","1-2 Miles","CA","California","US","United States","91950",4,"192.0.2.83"
11084,543,"AW00011084","Lucas",NULL,"Phillips","1963-03-12","M","lucas7@adventure-works.com","8668 St. Celestine Court","2022-01-04","1-2 Miles","OR","Oregon","US","United States","97355",1,"203.0.113.36"
11085,345,"AW00011085","Emily",NULL,"Johnson","1963-01-16","F","emily1@adventure-works.com","7926 Stephanie Way","2022-12-06","5-10 Miles","CA","California","US","United States","92625",4,"192.0.2.92"
11086,369,"AW00011086","Ryan",NULL,"Brown","1963-06-22","M","ryan43@adventure-works.com","2939 Wesley Ct.","2022-07-02","0-1 Miles","CA","California","US","United States","90401",4,"192.0.2.116"
11087,307,"AW00011087","Tamara","L","Liang","1963-04-02","F","tamara6@adventure-works.com","3791 Rossmor Parkway","2022-02-25","0-1 Miles","CA","California","US","United States","91910",4,"192.0.2.54"
11088,359,"AW00011088","Hunter",NULL,"Davis","1963-05-25","M","hunter64@adventure-works.com","4308 Sand Pointe Lane","2022-01-13","2-5 Miles","CA","California","US","United States","92102",4,"192.0.2.106"
11089,337,"AW00011089","Abigail","M","Price","1962-08-05","F","abigail25@adventure-works.com","2685 Blackburn Ct","2021-12-29","2-5 Miles","CA","California","US","United States","90802",4,"192.0.2.84"
11090,338,"AW00011090","Trevor",NULL,"Bryant","1968-12-13","M","trevor18@adventure-works.com","5781 Sharon Dr.","2020-08-07","2-5 Miles","CA","California","US","United States","90012",4,"192.0.2.85"
11091,50,"AW00011091","Dalton",NULL,"Perez","1962-10-02","M","dalton37@adventure-works.com","6083 San Jose","2022-01-29","5-10 Miles","BC","British Columbia","CA","Canada","V2W 1W2",6,"198.51.100.51"
11092,22,"AW00011092","Cheryl","A","Diaz","1972-11-02","F","cheryl4@adventure-works.com","7297 Kaywood Drive","2020-04-08","1-2 Miles","QLD","Queensland","AU","Australia","4169",9,"198.51.100.23"
11093,19,"AW00011093","Aimee","A","He","1978-09-06","F","aimee13@adventure-works.com","1833 Olympic Drive","2020-04-07","0-1 Miles","NSW","New South Wales","AU","Australia","2500",9,"198.51.100.20"
11094,33,"AW00011094","Cedric","W","Ma","1967-09-29","M","cedric15@adventure-works.com","3407 Oak Brook Place","2022-04-07","0-1 Miles","VIC","Victoria","AU","Australia","3977",9,"198.51.100.34"
11095,13,"AW00011095","Chad",NULL,"Kumar","1968-02-29","M","chad9@adventure-works.com","1681 Lighthouse Way","2020-04-01","5-10 Miles","NSW","New South Wales","AU","Australia","2444",9,"198.51.100.14"
11096,12,"AW00011096","Andrés",NULL,"Anand","1968-02-07","M","andrés18@adventure-works.com","5423 Los Gatos Ct.","2020-04-11","5-10 Miles","NSW","New South Wales","AU","Australia","2055",9,"198.51.100.13"
11097,40,"AW00011097","Edwin","R","Nara","1972-10-23","M","edwin39@adventure-works.com","719 William Way","2020-04-04","5-10 Miles","VIC","Victoria","AU","Australia","3280",9,"198.51.100.41"
11098,14,"AW00011098","Mallory","S","Rubio","1966-10-29","F","mallory7@adventure-works.com","6452 Harris Circle","2022-02-11","0-1 Miles","NSW","New South Wales","AU","Australia","2138",9,"198.51.100.15"
11099,13,"AW00011099","Adam",NULL,"Ross","1966-09-05","M","adam2@adventure-works.com","4378 Westminster Place","2020-04-07","0-1 Miles","NSW","New South Wales","AU","Australia","2444",9,"198.51.100.14"
11100,28,"AW00011100","Latasha","L","Navarro","1966-03-15","F","latasha10@adventure-works.com","6954 Ranch Road","2020-04-16","5-10 Miles","SA","South Australia","AU","Australia","6105",9,"198.51.100.29"
11101,33,"AW00011101","Abby","L","Sai","1970-11-05","F","abby4@adventure-works.com","7074 N. Spoonwood Court","2020-04-29","0-1 Miles","VIC","Victoria","AU","Australia","3977",9,"198.51.100.34"
11102,18,"AW00011102","Julia","L","Nelson","1970-10-19","F","julia7@adventure-works.com","2196 Coat Ct.","2022-07-16","1-2 Miles","NSW","New South Wales","AU","Australia","1002",9,"198.51.100.19"
11103,3,"AW00011103","Cassie",NULL,"Chande","1981-04-12","F","cassie13@adventure-works.com","9448 San Marino Ct.","2020-04-15","5-10 Miles","NSW","New South Wales","AU","Australia","2010",9,"198.51.100.4"
11104,23,"AW00011104","Edgar","A","Sara","1975-03-08","M","edgar11@adventure-works.com","6127 Lilly Lane","2020-05-04","0-1 Miles","QLD","Queensland","AU","Australia","4217",9,"198.51.100.24"
11105,8,"AW00011105","Candace",NULL,"Fernandez","1970-06-27","F","candace15@adventure-works.com","5029 Blue Ridge","2020-05-14","5-10 Miles","NSW","New South Wales","AU","Australia","2036",9,"198.51.100.9"
11106,40,"AW00011106","Jessie",NULL,"Liu","1970-03-11","M","jessie9@adventure-works.com","3063 Blue Jay Drive","2020-05-18","5-10 Miles","VIC","Victoria","AU","Australia","3280",9,"198.51.100.41"
11107,17,"AW00011107","Bianca",NULL,"Lin","1976-03-04","F","bianca7@adventure-works.com","7530 Eola","2020-05-01","5-10 Miles","NSW","New South Wales","AU","Australia","2065",9,"198.51.100.18"
11108,13,"AW00011108","Kari","C","Alvarez","1969-01-10","F","kari25@adventure-works.com","9178 Thornhill Place","2020-05-03","0-1 Miles","NSW","New South Wales","AU","Australia","2444",9,"198.51.100.14"
11109,38,"AW00011109","Ruben","D","Kapoor","1980-04-30","M","ruben1@adventure-works.com","1984 Glendale Circle","2020-05-10","0-1 Miles","VIC","Victoria","AU","Australia","3205",9,"198.51.100.39"
11110,3,"AW00011110","Curtis",NULL,"Yang","1967-12-04","M","curtis5@adventure-works.com","4052 Mt. Wilson Way","2020-05-01","5-10 Miles","NSW","New South Wales","AU","Australia","2010",9,"198.51.100.4"
11111,34,"AW00011111","Meredith","T","Gutierrez","1967-08-23","F","meredith34@adventure-works.com","7610 Northridge Ct.","2020-05-20","0-1 Miles","VIC","Victoria","AU","Australia","3220",9,"198.51.100.35"
11112,25,"AW00011112","Crystal","C","Wang","1968-03-08","F","crystal3@adventure-works.com","2773 Kirkwood Dr","2020-05-25","0-1 Miles","QLD","Queensland","AU","Australia","4655",9,"198.51.100.26"
11113,30,"AW00011113","Micheal","A","Blanco","1973-02-17","M","micheal11@adventure-works.com","596 Marfargoa Drive","2022-02-01","5-10 Miles","SA","South Australia","AU","Australia","6006",9,"198.51.100.31"
11114,14,"AW00011114","Leslie","C","Moreno","1967-11-25","F","leslie7@adventure-works.com","7941 Cristobal","2022-03-18","5-10 Miles","NSW","New South Wales","AU","Australia","2138",9,"198.51.100.15"
11115,17,"AW00011115","Alvin","D","Cai","1967-08-12","M","alvin20@adventure-works.com","7759 Azalea Avenue","2022-02-10","0-1 Miles","NSW","New South Wales","AU","Australia","2065",9,"198.51.100.18"
11116,18,"AW00011116","Clinton","E","Carlson","1979-04-02","M","clinton14@adventure-works.com","7943 Cunha Ct.","2022-03-15","5-10 Miles","NSW","New South Wales","AU","Australia","1002",9,"198.51.100.19"
11117,8,"AW00011117","April",NULL,"Deng","1966-08-21","F","april1@adventure-works.com","485 Ash Lane","2020-05-06","10+ Miles","NSW","New South Wales","AU","Australia","2036",9,"198.51.100.9"
11118,6,"AW00011118","Alvin","M","Zeng","1962-12-31","M","alvin21@adventure-works.com","3853 Wildcat Circle","2022-07-10","0-1 Miles","NSW","New South Wales","AU","Australia","2060",9,"198.51.100.7"
11119,13,"AW00011119","Evan","V","James","1940-10-07","M","evan8@adventure-works.com","4157 Sierra Ridge","2022-02-03","0-1 Miles","NSW","New South Wales","AU","Australia","2444",9,"198.51.100.14"
11120,18,"AW00011120","Beth","H","Jiménez","1942-02-06","F","beth8@adventure-works.com","7401 Las Palmas","2020-05-14","5-10 Miles","NSW","New South Wales","AU","Australia","1002",9,"198.51.100.19"
11121,10,"AW00011121","Orlando",NULL,"Suarez","1966-05-18","M","orlando19@adventure-works.com","7743 Hames Dr","2022-06-24","10+ Miles","NSW","New South Wales","AU","Australia","2300",9,"198.51.100.11"
11122,12,"AW00011122","Byron",NULL,"Vazquez","1965-09-30","M","byron9@adventure-works.com","3187 Hackamore Lane","2022-02-21","5-10 Miles","NSW","New South Wales","AU","Australia","2055",9,"198.51.100.13"
11123,39,"AW00011123","Philip","A","Alvarez","1965-12-18","M","philip4@adventure-works.com","2775 Mt. Olivet Pl.","2022-04-17","10+ Miles","VIC","Victoria","AU","Australia","3429",9,"198.51.100.40"
11124,40,"AW00011124","Ross","F","Jordan","1968-07-23","M","ross1@adventure-works.com","6973 Dublin Court","2020-05-05","5-10 Miles","VIC","Victoria","AU","Australia","3280",9,"198.51.100.41"
11125,37,"AW00011125","Dana","J","Navarro","1961-10-06","F","dana2@adventure-works.com","8481 Zartop Street","2022-01-31","5-10 Miles","VIC","Victoria","AU","Australia","3198",9,"198.51.100.38"
11126,11,"AW00011126","Shaun",NULL,"Carson","1954-10-05","M","shaun16@adventure-works.com","57 Wolf Way","2020-05-28","0-1 Miles","NSW","New South Wales","AU","Australia","2113",9,"198.51.100.12"
11127,361,"AW00011127","Jan",NULL,"Edwards","1981-04-19","F","jan11@adventure-works.com","9409 The Alameda","2022-04-10","5-10 Miles","CA","California","US","United States","91776",4,"192.0.2.108"
11128,635,"AW00011128","Samantha",NULL,"Long","1981-06-03","F","samantha35@adventure-works.com","1606 Alderwood Lane","2022-06-19","5-10 Miles","WA","Washington","US","United States","98055",1,"203.0.113.128"
11129,638,"AW00011129","Julia","M","Wright","1981-02-01","F","julia17@adventure-works.com","7397 Central Blvd.","2020-08-06","5-10 Miles","WA","Washington","US","United States","98284",1,"203.0.113.131"
11130,543,"AW00011130","Caroline","L","Russell","1985-07-05","F","caroline21@adventure-works.com","3884 Bates Court","2022-12-09","5-10 Miles","OR","Oregon","US","United States","97355",1,"203.0.113.36"
11131,50,"AW00011131","Amanda",NULL,"Rivera","1985-09-09","F","amanda7@adventure-works.com","9573 Royal Oak Rd.","2022-10-18","0-1 Miles","BC","British Columbia","CA","Canada","V2W 1W2",6,"198.51.100.51"
11132,51,"AW00011132","Melissa","E","Richardson","1986-04-25","F","melissa31@adventure-works.com","6832 Fruitwood Dr","2022-04-09","5-10 Miles","BC","British Columbia","CA","Canada","V9",6,"198.51.100.52"
11133,542,"AW00011133","Angela",NULL,"Griffin","1986-03-08","F","angela23@adventure-works.com","3828 Baltic Sea Ct","2022-12-30","0-1 Miles","OR","Oregon","US","United States","97034",1,"203.0.113.35"
